398	Guayaquil, Ecuador	-2.1894128	-79.8890662
166	Hortolandia, Brazil	-22.8573469	-47.2210564
429	Huancayo, Peru	-12.0686357	-75.2102976
440	Huanuco, Peru	-9.9207648	-76.2410843
447	Huaraz, Peru	-9.5261154	-77.5287792
360	Ibague, Colombia	4.444676	-75.242438
410	Ibarra, Ecuador	0.3471469	-78.1323648
215	Ibirite, Brazil	-20.0240711	-44.0590066
436	Ica, Peru	-14.07546	-75.7341811
201	Ilheus, Brazil	-14.7981287	-39.0346984
157	Imperatriz, Brazil	-5.5237633	-47.4761951
184	Indaiatuba, Brazil	-23.0882014	-47.2079588
153	Ipatinga, Brazil	-19.46319	-42.5592797
330	Iquique, Chile	-20.2307033	-70.1356692
428	Iquitos, Peru	-3.7436735	-73.2516326
284	Itabira, Brazil	-19.6243501	-43.2235848
182	Itaborai, Brazil	-22.7472462	-42.8584458
164	Itabuna, Brazil	-14.7916229	-39.2833243
282	Itaguai, Brazil	-22.8631923	-43.7779091
370	Itaguei, Colombia	6.1681832	-75.6190324
200	Itajai, Brazil	-26.9082859	-48.6775167
309	Itanhaem, Brazil	-24.1840935	-46.7897436
205	Itapecerica da Serra, Brazil	-23.7183369	-46.8481043
228	Itapetininga, Brazil	-23.5818554	-48.0317589
168	Itapevi, Brazil	-23.5507572	-46.9388116
114	Itaquaquecetuba, Brazil	-23.4962199	-46.3565234
219	Itu, Brazil	-23.2636298	-47.3010875
77	Jaboatao, Brazil	-8.1688125	-34.920874
81	Jaboatao dos Guararapes, Brazil	-8.1688125	-34.920874
160	Jacarei, Brazil	-23.3029181	-45.9674523
251	Jandira, Brazil	-23.530218	-46.8981019
298	Japeri, Brazil	-22.6438228	-43.6600885
225	Jaragua do Sul, Brazil	-26.4813798	-49.0842138
242	Jau, Brazil	-22.3023754	-48.5723053
227	Jequie, Brazil	-13.8590592	-40.0837763
263	Ji Parana, Brazil	-10.8724473	-61.9592887
80	Joao Pessoa, Brazil	-7.1188352	-34.8814339
94	Joinville, Brazil	-26.3043758	-48.8463744
155	Juazeiro do Norte, Brazil	-7.2291097	-39.3124589
92	Juiz de Fora, Brazil	-21.7623932	-43.3434669
437	Juliaca, Peru	-15.4996879	-70.129653
120	Jundiai, Brazil	-23.1856528	-46.8892222
47	La Paz, Bolivia	-16.489689	-68.1192936
333	La Pintana, Chile	-33.5855661	-70.6285838
6	La Plata, Argentina	-34.9204948	-57.9535657
26	La Rioja, Argentina	-29.9001725	-66.9988011
338	La Serena, Chile	-29.9026691	-71.2519374
500	La Victoria, Venezuela	10.218625	-67.326501
192	Lages, Brazil	-27.8178927	-50.3264241
419	Lambare, Paraguay	-25.3424981	-57.6253921
216	Lauro de Freitas, Brazil	-12.8848712	-38.3084506
423	Lima, Peru	-12.0463731	-77.042754
132	Limeira, Brazil	-22.5838179	-47.4097569
421	Limpio, Paraguay	-25.1622965	-57.4756831
271	Linhares, Brazil	-19.3990168	-40.0653465
